SYMBOL,DATE,OPEN,CLOSE,MIN,MAX,VOLUME
AVGO,2025-03-03,202.559944884,186.047332764,183.227384226,202.619518914,37435600
NVDA,2025-03-03,123.483102696,114.03515625,112.255545139,123.673056129,411381400
AVGO,2025-03-04,187.884262391,186.156539917,179.205954206,192.580868208,37910500
NVDA,2025-03-04,110.625903574,115.964736938,110.086020262,119.284013586,398163300
AVGO,2025-03-05,190.50563759,190.227615356,185.779244462,192.709967553,25644500
NVDA,2025-03-05,117.554389998,117.274452209,114.485059025,118.25423447,284337900
AVGO,2025-03-06,179.762015204,178.183242798,176.356235165,185.511151543,56864100
NVDA,2025-03-06,113.505275823,110.545921326,110.195999069,115.324879185,321181900
AVGO,2025-03-07,186.40476752,193.583740234,180.278324754,194.100058529,74528900
NVDA,2025-03-07,111.225769869,112.665458679,107.536571106,113.455287533,341755500
AVGO,2025-03-10,188.26158835,183.14793396,179.156307562,190.624777234,44217100
NVDA,2025-03-10,109.876057544,106.956695557,105.437022448,111.825629645,366487400
AVGO,2025-03-11,186.7225154,188.74810791,184.041578343,194.239069173,42153200
NVDA,2025-03-11,106.966694123,108.736312866,104.747176445,112.215550608,354865700
AVGO,2025-03-12,194.834859774,192.858901978,191.091468431,198.568312011,30409700
NVDA,2025-03-12,114.105649612,115.725440979,112.865800077,116.745316963,323857500
AVGO,2025-03-13,191.786512669,190.009155273,188.132497736,194.93414839,27236100
NVDA,2025-03-13,117.015274723,115.565460205,113.775684497,117.745186235,299033100
AVGO,2025-03-14,194.814997326,194.15965271,191.836174691,196.105823498,25900900
NVDA,2025-03-14,118.595080954,121.654693604,118.135139732,121.864666273,277593500
AVGO,2025-03-17,186.72253333,193.126998901,186.176412823,195.331328841,26830600
NVDA,2025-03-17,122.724556491,119.514961243,118.015149951,122.874539146,255501500
AVGO,2025-03-18,189.095659587,187.338150024,185.580640462,191.528361661,24951000
NVDA,2025-03-18,117.985150209,115.415473938,114.525586551,119.00501849,299686900
AVGO,2025-03-19,188.003405826,194.189437866,185.580627871,196.870374973,37962700
NVDA,2025-03-19,117.25524233,117.505210876,115.665446038,120.434842544,273426200
AVGO,2025-03-20,190.743478286,189.767440796,188.173937182,193.054063845,31430000
NVDA,2025-03-20,116.535336742,118.515083313,116.455344978,120.184871334,248829700
AVGO,2025-03-21,187.446895371,190.882904053,186.610289664,191.291245325,43086500
NVDA,2025-03-21,116.925289407,117.685188293,115.405476377,117.975152722,266498500
AVGO,2025-03-24,193.512184699,190.47454834,189.896898213,195.89249348,33180300
NVDA,2025-03-24,119.864915689,121.394729614,119.324982708,122.204625271,228452500
AVGO,2025-03-25,190.116030294,187.496688843,186.919038646,190.823158265,23417300
NVDA,2025-03-25,120.534838168,120.674819946,118.905038336,121.274742942,167447200
AVGO,2025-03-26,185.903172515,178.543136597,176.859986435,187.29749,30578500
NVDA,2025-03-26,118.715065311,113.745689392,112.695818447,118.825044453,293463300
AVGO,2025-03-27,176.939656695,171.292648315,169.768853127,177.656738572,32151700
NVDA,2025-03-27,111.335993339,111.415985107,110.646085311,114.435601908,236902100
AVGO,2025-03-28,171.232884525,168.434280396,165.795031177,172.59734005,30391500
NVDA,2025-03-28,111.475975005,109.656204224,109.056281215,112.855806315,229872500
AVGO,2025-03-31,163.823062473,166.75112915,159.968743484,167.259071025,35656400
NVDA,2025-03-31,105.116772361,108.366363525,103.636962811,110.946040804,299212700
AVGO,2025-04-01,165.695424064,167.836715698,162.757388302,168.025947747,20472400
NVDA,2025-04-01,108.506339173,110.136138916,106.456601747,110.186128046,222614000
AVGO,2025-04-02,165.406615972,171.392242432,164.828965809,172.726805637,19523700
NVDA,2025-04-02,107.276501607,110.406105042,106.776564517,111.965913948,220601200
AVGO,2025-04-03,159.889065995,153.385543823,153.076803184,162.76734756,44354900
NVDA,2025-04-03,103.496977209,101.787193298,101.587213888,105.616705562,338769400
AVGO,2025-04-04,147.569220498,145.696838379,138.605712359,152.180452325,72302200
NVDA,2025-04-04,98.897561297,94.29813385,92.09841365,100.117401419,532273800
AVGO,2025-04-07,143.904148162,153.515014648,137.540058024,159.779504173,68503500
NVDA,2025-04-07,87.448989592,97.627708435,86.609098993,101.737191677,611041300
AVGO,2025-04-08,166.940357262,155.397354126,152.469272321,169.091602898,58888200
NVDA,2025-04-08,103.79693725,96.287887573,94.448115096,105.836681513,476243400
AVGO,2025-04-09,159.849242994,184.399291992,156.87136066,186.570460952,72708300
NVDA,2025-04-09,98.877553558,114.315612793,97.517724111,115.085512528,612918300
AVGO,2025-04-10,174.589246364,171.601409912,165.725322439,176.232550333,51212200
NVDA,2025-04-10,109.356241723,107.556465149,99.137526391,110.846052114,437812400
AVGO,2025-04-11,172.916042906,181.202316284,172.60730225,181.919398219,33964100
NVDA,2025-04-11,108.486344051,110.916038513,107.466475786,111.535963225,313417300
AVGO,2025-04-14,184.329579994,177.636825562,175.107130884,185.245847956,25748300
NVDA,2025-04-14,114.095641494,110.69606781,109.056274791,114.275619149,264705000
AVGO,2025-04-15,179.001262466,178.22442627,177.357958635,181.521003112,17242400
NVDA,2025-04-15,110.95604157,112.185882568,110.486099474,113.605709735,228966900
AVGO,2025-04-16,169.738963727,173.902023315,166.243200916,175.366064239,34638600
NVDA,2025-04-16,104.536850056,104.476852417,100.437359757,106.776566115,397016900
AVGO,2025-04-17,175.535374417,170.296707153,169.231038295,175.535374417,22501800
NVDA,2025-04-17,104.436852852,101.477226257,100.037412656,104.456854608,292517500
AVGO,2025-04-21,166.312938541,165.536102295,160.954747081,167.318837989,23469800
NVDA,2025-04-21,98.757570874,96.89781189,95.028044399,99.427492382,288501100
AVGO,2025-04-22,166.751133774,168.892425537,164.550102914,169.82861666,18504900
NVDA,2025-04-22,98.767569078,98.877555847,97.267757827,99.797438251,241004800
AVGO,2025-04-23,177.059170877,176.192703247,175.107126415,179.718343254,24380500
NVDA,2025-04-23,104.506844693,102.69707489,102.007159273,104.786815868,247526000
AVGO,2025-04-24,178.96142615,187.387115479,177.577062692,187.805425908,27576900
NVDA,2025-04-24,103.46697748,106.416603088,103.097021309,106.526589852,220815000
AVGO,2025-04-25,186.16211306,191.530258179,186.132235914,192.585957875,21242300
NVDA,2025-04-25,106.836559888,110.996040344,105.716705633,111.905921926,251064700
AVGO,2025-04-28,189.757484377,191.689620972,186.919033781,192.317071465,16385800
NVDA,2025-04-28,109.676194461,108.716316223,106.00665065,110.356109167,207708500
AVGO,2025-04-29,190.942655217,190.394882202,189.329228516,192.466450479,14630000
NVDA,2025-04-29,107.656450384,109.006278992,107.426483596,110.186130821,170444300
AVGO,2025-04-30,185.146252105,191.689620972,183.273885003,192.416656891,22768900
NVDA,2025-04-30,104.456858648,108.906295776,104.066908321,108.906295776,235044600
AVGO,2025-05-01,197.336620567,196.529907227,195.44433039,200.583397094,24939700
NVDA,2025-05-01,113.065771121,111.595954895,111.285996348,114.925537657,236121500
AVGO,2025-05-02,203.073271401,202.814331055,200.264713131,204.846053088,17766800
NVDA,2025-05-02,114.165636265,114.485595703,113.355740605,115.385484007,190194800
AVGO,2025-05-05,199.438062902,199.906158447,199.189076556,202.405975887,14025400
NVDA,2025-05-05,112.895797781,113.805679321,112.645829235,114.655570852,133163200
AVGO,2025-05-06,195.643522308,199.278717041,195.145549594,201.091345014,16348800
NVDA,2025-05-06,111.465980258,113.525718689,110.806059618,114.725564689,158525600
AVGO,2025-05-07,198.48196064,203.97958374,197.625446951,205.393824446,20253700
NVDA,2025-05-07,113.035782729,117.045272827,112.265875314,117.665197585,206758800
AVGO,2025-05-08,207.156644976,206.927581787,202.864122697,210.303836114,18460900
NVDA,2025-05-08,118.235126435,117.355239868,115.835426783,118.665072654,198428100
AVGO,2025-05-09,208.481258157,207.355834961,205.682653937,209.108708639,13289200
NVDA,2025-05-09,117.335231433,116.635322571,115.195501336,118.215125578,132972200
AVGO,2025-05-12,218.600072503,220.681594849,215.004708818,220.900704064,25437700
NVDA,2025-05-12,121.954658374,122.984527588,120.264868521,122.984527588,225023300
AVGO,2025-05-13,221.099881256,231.477630615,221.099881256,234.326035099,28790500
NVDA,2025-05-13,124.964283787,129.913650513,124.454345797,131.203496805,330430100
AVGO,2025-05-14,229.296512012,231.178848267,227.424144939,232.553257823,19751400
NVDA,2025-05-14,133.1832374,135.322967529,131.663424378,135.42296105,281180800
AVGO,2025-05-15,229.226806387,231.696746826,227.145284062,233.509374824,18803700
NVDA,2025-05-15,134.27309347,134.813034058,132.643308974,136.282850285,226632600
AVGO,2025-05-16,231.378039014,227.683074951,225.472074982,231.696733635,23094600
NVDA,2025-05-16,136.202869283,135.382965088,133.443221891,136.332857815,226542500
AVGO,2025-05-19,220.95050081,229.694900513,220.701514451,230.312381819,15355500
NVDA,2025-05-19,132.373340217,135.552947998,132.373340217,135.852898042,193154600
AVGO,2025-05-20,225.571687061,230.740631104,225.422286127,230.830277742,11787200
NVDA,2025-05-20,134.273082624,134.363082886,132.603294752,134.563054649,161514200
AVGO,2025-05-21,227.463974986,228.798538208,226.906247979,235.54109299,17642900
NVDA,2025-05-21,133.043252692,131.783416748,130.573562307,137.382702865,270608700
AVGO,2025-05-22,227.414183401,229.595306396,226.507869382,232.742497707,14340200
NVDA,2025-05-22,132.213362827,132.813293457,131.533455686,134.233113008,187344000
AVGO,2025-05-23,226.019851461,227.792633057,225.262923231,229.714800384,15385600
NVDA,2025-05-23,129.98365221,131.273483276,129.143761503,132.66330787,198821300
AVGO,2025-05-27,231.925807224,234.694534302,230.192871904,235.521170832,17941700
NVDA,2025-05-27,134.133104535,135.482940674,133.293213952,135.642924192,192953600
AVGO,2025-05-28,236.188443719,238.459197998,233.479471036,240.012885576,20443000
NVDA,2025-05-28,136.012892848,134.793045044,134.773043287,137.232740652,304021100
AVGO,2025-05-29,244.912934122,240.98890686,236.437429141,245.072289032,20743700
NVDA,2025-05-29,142.232113403,139.17250061,137.892662779,143.471962977,369241900
AVGO,2025-05-30,240.241956546,241.088516235,233.947574167,242.184047084,27088600
NVDA,2025-05-30,138.702551336,135.113006592,132.903277879,139.602432021,333170900
AVGO,2025-06-02,242.263730287,247.701599121,242.203975992,248.986362063,19197000
NVDA,2025-06-02,135.472955127,137.362716675,135.382954858,138.102613787,197663100
AVGO,2025-06-03,249.066038829,255.80859375,248.388788024,256.834416343,30380200
NVDA,2025-06-03,138.762529433,141.202224731,137.932632081,141.982125326,225578800
