SYMBOL,DATE,CLOSE,SMA_7D,SMA_30D
AVGO,2025-03-03,186.047332764,,
AVGO,2025-03-04,186.156539917,,
AVGO,2025-03-05,190.227615356,,
AVGO,2025-03-06,178.183242798,,
AVGO,2025-03-07,193.583740234,,
AVGO,2025-03-10,183.14793396,,
AVGO,2025-03-11,188.74810791,186.58493042,
AVGO,2025-03-12,192.858901978,187.558011736,
AVGO,2025-03-13,190.009155273,188.108385359,
AVGO,2025-03-14,194.15965271,188.67010498,
AVGO,2025-03-17,193.126998901,190.804927281,
AVGO,2025-03-18,187.338150024,189.912700108,
AVGO,2025-03-19,194.189437866,191.490057809,
AVGO,2025-03-20,189.767440796,191.635676793,
AVGO,2025-03-21,190.882904053,191.353391375,
AVGO,2025-03-24,190.47454834,191.419876099,
AVGO,2025-03-25,187.496688843,190.468024118,
AVGO,2025-03-26,178.543136597,188.384615217,
AVGO,2025-03-27,171.292648315,186.092400687,
AVGO,2025-03-28,168.434280396,182.413092477,
AVGO,2025-03-31,166.75112915,179.125047956,
AVGO,2025-04-01,167.836715698,175.832735334,
AVGO,2025-04-02,171.392242432,173.106691633,
AVGO,2025-04-03,153.385543823,168.233670916,
AVGO,2025-04-04,145.696838379,163.541342599,
AVGO,2025-04-07,153.515014648,161.001680647,
AVGO,2025-04-08,155.397354126,159.139262608,
AVGO,2025-04-09,184.399291992,161.660428728,
AVGO,2025-04-10,171.601409912,162.198242188,
AVGO,2025-04-11,181.202316284,163.599681309,179.528210449
AVGO,2025-04-14,177.636825562,167.064150129,179.247860209
AVGO,2025-04-15,178.22442627,171.710948399,178.983456421
AVGO,2025-04-16,173.902023315,174.623378209,178.43927002
AVGO,2025-04-17,170.296707153,176.751857213,178.176385498
AVGO,2025-04-21,165.536102295,174.057115827,177.241464233
AVGO,2025-04-22,168.892425537,173.670118059,176.766280619
AVGO,2025-04-23,176.192703247,172.954459054,176.347767131
AVGO,2025-04-24,187.387115479,174.347357614,176.165374247
AVGO,2025-04-25,191.530258179,176.248190744,176.216077677
AVGO,2025-04-28,191.689620972,178.789276123,176.133743286
AVGO,2025-04-29,190.394882202,181.660443987,176.042672729
AVGO,2025-04-30,191.689620972,185.396660941,176.187721761
AVGO,2025-05-01,196.529907227,189.344872611,176.265737406
AVGO,2025-05-02,202.814331055,193.147962298,176.700633748
AVGO,2025-05-05,199.906158447,194.936397008,177.001408895
AVGO,2025-05-06,199.278717041,196.043319702,177.294881185
AVGO,2025-05-07,203.97958374,197.799028669,177.844311015
AVGO,2025-05-08,206.927581787,200.160842896,178.790459188
AVGO,2025-05-09,207.355834961,202.398873465,179.992565409
AVGO,2025-05-12,220.681594849,205.849114554,181.734142558
AVGO,2025-05-13,231.477630615,209.943871634,183.891692607
AVGO,2025-05-14,231.178848267,214.411398751,186.003097026
AVGO,2025-05-15,231.696746826,219.042545864,188.013247172
AVGO,2025-05-16,227.683074951,222.428758894,190.489831543
AVGO,2025-05-19,229.694900513,225.681232997,193.289766947
AVGO,2025-05-20,230.740631104,229.021918161,195.863954163
AVGO,2025-05-21,228.798538208,230.181481498,198.310660299
AVGO,2025-05-22,229.595306396,229.912578038,199.817194112
AVGO,2025-05-23,227.792633057,229.428833008,201.690234884
AVGO,2025-05-27,234.694534302,229.857088361,203.473308818
AVGO,2025-05-28,238.459197998,231.396534511,205.500721232
AVGO,2025-05-29,240.98890686,233.009963989,207.592870585
AVGO,2025-05-30,241.088516235,234.488233294,209.832420349
AVGO,2025-06-02,247.701599121,237.188670567,212.412583415
AVGO,2025-06-03,255.80859375,240.933425903,215.421666463
AVGO,2025-06-04,260.02142334,245.537538801,218.459299723
AVGO,2025-06-05,258.876098633,248.992047991,221.215412903
AVGO,2025-06-06,245.92880249,250.059134347,223.16680247
AVGO,2025-06-09,243.289550781,250.387797764,224.892112223
AVGO,2025-06-10,243.638137817,250.752029419,226.623729451
AVGO,2025-06-11,251.884567261,251.349596296,228.67338562
AVGO,2025-06-12,255.03175354,251.238619123,230.784790039
AVGO,2025-06-13,247.691619873,249.477218628,232.490180461
AVGO,2025-06-16,251.077850342,248.363183158,234.098964437
AVGO,2025-06-17,248.358901978,248.710340227,235.714055888
AVGO,2025-06-18,250.241226196,249.703436715,237.412806193
AVGO,2025-06-20,249.562423706,250.549763271,238.932234192
AVGO,2025-06-23,253.335952759,250.757104056,240.479179891
AVGO,2025-06-24,263.318847656,251.940974644,242.344613647
AVGO,2025-06-25,264.19732666,254.298932757,243.795138041
AVGO,2025-06-26,269.70791626,256.960370745,245.069480896
AVGO,2025-06-27,268.889312744,259.893286569,246.326496379
AVGO,2025-06-30,275.178527832,263.455758231,247.775889079
AVGO,2025-07-01,264.28717041,265.559293474,248.996025594
AVGO,2025-07-02,269.438354492,267.859636579,250.320807393
AVGO,2025-07-03,274.709320068,269.486846924,251.786430359
AVGO,2025-07-07,273.711029053,270.845947266,253.283513387
AVGO,2025-07-08,271.335083008,271.078399658,254.674839274
AVGO,2025-07-09,277.424682617,272.297738211,256.329240926
AVGO,2025-07-10,274.928955078,272.262084961,257.670388285
AVGO,2025-07-11,273.910705566,273.636875698,258.852105204
AVGO,2025-07-14,275.128601074,274.449768066,259.990095011
